Cases,Deaths,Vaccination Rate,Population,Median Age,Household Income,Heart Disease,Stroke,Party,County,State,Cases per Capita,Deaths per Capita
2616,63.0,40.4,13770.0,42.9,44602.0,412.6,90.8,REPUBLICAN,Callahan,Texas,0.18997821350762528,0.004575163398692811
11132,102.0,46.2,44840.0,38.6,55376.0,321.0,72.8,REPUBLICAN,Callaway,Missouri,0.24826048171275647,0.0022747546833184655
7302,73.0,44.5,38776.0,35.3,40219.0,400.5,82.6,REPUBLICAN,Calloway,Kentucky,0.18831235815968642,0.0018826077986383329
13871,102.0,55.0,49807.0,40.1,72530.0,298.9,67.5,REPUBLICAN,Calumet,Wisconsin,0.2784949906639629,0.0020479049129640413
10345,127.0,69.2,91082.0,40.8,104301.0,321.3,57.7,REPUBLICAN,Calvert,Maryland,0.11357897279374629,0.001394347950198722
121,1.0,42.4,886.0,46.3,38393.0,208.3,71.8,REPUBLICAN,Camas,Idaho,0.136568848758465,0.001128668171557562
32336,665.0,54.8,134550.0,45.1,45901.0,370.4,64.3,REPUBLICAN,Cambria,Pennsylvania,0.2403270159791899,0.004942400594574507
10183,102.0,54.8,52714.0,32.3,56397.0,387.9,79.8,REPUBLICAN,Camden,Georgia,0.19317448875061655,0.00193496983723489
8720,163.0,44.6,45096.0,51.1,52087.0,286.4,59.5,REPUBLICAN,Camden,Missouri,0.19336526521199218,0.0036145112648571934
120137,1655.0,66.5,507367.0,38.7,67118.0,359.6,69.5,DEMOCRAT,Camden,New Jersey,0.23678520676354592,0.0032619385967159868
1639,9.0,59.5,10447.0,40.7,63349.0,344.9,83.1,REPUBLICAN,Camden,North Carolina,0.1568871446348234,0.0008614913372259979
1130,9.0,17.5,6868.0,44.5,55000.0,528.9,106.2,REPUBLICAN,Cameron,Louisiana,0.16453115899825277,0.0013104251601630751
757,18.0,56.2,4686.0,52.2,41485.0,360.9,57.2,REPUBLICAN,Cameron,Pennsylvania,0.16154502774221083,0.0038412291933418692
89856,2029.0,75.1,421750.0,31.5,37132.0,279.7,55.2,DEMOCRAT,Cameron,Texas,0.21305512744516894,0.004810906935388264
2593,70.0,39.0,12813.0,38.7,42604.0,412.7,85.2,REPUBLICAN,Camp,Texas,0.20237259033793803,0.005463201436041521
22613,136.0,61.6,92267.0,38.1,59782.0,322.4,86.1,REPUBLICAN,Campbell,Kentucky,0.24508220707295134,0.0014739831142228533
250,7.0,64.0,1435.0,51.3,52500.0,310.1,74.8,REPUBLICAN,Campbell,South Dakota,0.17421602787456447,0.004878048780487805
9870,135.0,42.4,39687.0,43.8,38170.0,516.4,86.5,REPUBLICAN,Campbell,Tennessee,0.24869604656436617,0.003401617658175221
10026,167.0,39.5,55170.0,42.8,50258.0,324.3,82.0,REPUBLICAN,Campbell,Virginia,0.18172920065252854,0.0030270074315751315
11234,134.0,30.1,47708.0,33.5,79916.0,352.2,34.9,REPUBLICAN,Campbell,Wyoming,0.23547413431709566,0.002808753248930997
