County,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
001,"Albany County, New York",305279.0,38.0,59394.0,32328.0,37541.0,12.297275606903849
003,"Allegany County, New York",48618.0,38.2,42445.0,20978.0,7169.0,14.745567485293513
009,"Cattaraugus County, New York",79735.0,41.0,42603.0,22049.0,13841.0,17.35875086223114
053,"Madison County, New York",72839.0,39.8,53589.0,25230.0,7574.0,10.398275649034172
093,"Schenectady County, New York",154821.0,39.9,56061.0,28319.0,19127.0,12.354267185976063
037,"Genesee County, New York",59872.0,42.0,49922.0,25403.0,7468.0,12.47327632282202
123,"Yates County, New York",25293.0,40.5,49335.0,24457.0,3817.0,15.091131933736607
079,"Greene County, North Carolina",21382.0,39.1,40853.0,18441.0,4489.0,20.99429426620522
121,"Mitchell County, North Carolina",15453.0,45.7,37680.0,21404.0,2766.0,17.899437002523783
041,"Chowan County, North Carolina",14782.0,45.5,34420.0,19240.0,4179.0,28.27086997699905
011,"De Baca County, New Mexico",1975.0,46.7,37660.0,24879.0,458.0,23.189873417721518
005,"Alleghany County, North Carolina",11046.0,46.4,35170.0,19510.0,2145.0,19.41879413362303
027,"Caldwell County, North Carolina",82407.0,41.5,34357.0,19228.0,15822.0,19.19982525756307
035,"Catawba County, North Carolina",154432.0,40.1,44332.0,23232.0,23156.0,14.994301699129714
