Cases,Deaths,Vaccination Rate,Population,Median Age,Household Income,Heart Disease,Stroke,Party,County,State,Cases per Capita,Deaths per Capita
4809,126.0,41.1,24925.0,51.4,45647.0,349.2,73.4,REPUBLICAN,Fannin,Georgia,0.19293881644934804,0.005055165496489469
6280,162.0,43.2,34175.0,41.9,50761.0,500.8,85.1,REPUBLICAN,Fannin,Texas,0.18376005852231164,0.004740307242136065
32605,266.0,49.9,122416.0,32.5,51930.0,373.1,88.4,REPUBLICAN,Faulkner,Arkansas,0.2663459024964057,0.00217291857273559
11965,109.0,62.7,69115.0,41.4,97469.0,252.0,65.0,REPUBLICAN,Fauquier,Virginia,0.17311726832091442,0.0015770816754684222
20806,277.0,60.9,111369.0,43.5,87272.0,254.6,69.2,REPUBLICAN,Fayette,Georgia,0.18682038987509988,0.0024872271457946106
6682,91.0,35.5,21724.0,41.5,44432.0,323.3,75.6,REPUBLICAN,Fayette,Illinois,0.30758607991161846,0.004188915485177683
6405,131.0,38.6,23259.0,42.6,43317.0,475.0,78.3,REPUBLICAN,Fayette,Indiana,0.27537727331355605,0.0056322283847112945
7403,98.0,42.5,28645.0,40.7,46478.0,510.8,84.3,REPUBLICAN,Fayette,Ohio,0.25843951824053063,0.0034211904346308254
28422,582.0,55.7,132289.0,44.8,44476.0,446.1,64.4,REPUBLICAN,Fayette,Pennsylvania,0.21484779535713475,0.004399458760743524
10366,142.0,55.6,39692.0,45.4,59017.0,380.2,92.2,REPUBLICAN,Fayette,Tennessee,0.26116093923208705,0.003577547112768316
4454,97.0,49.1,25066.0,47.0,56297.0,347.8,70.6,REPUBLICAN,Fayette,Texas,0.177690896034469,0.0038697837708449694
10769,158.0,59.8,44126.0,43.8,40379.0,403.2,91.8,REPUBLICAN,Fayette,West Virginia,0.2440511263200834,0.0035806553959117074
4201,21.0,67.2,20888.0,42.4,59451.0,300.6,59.4,REPUBLICAN,Fillmore,Minnesota,0.20112026043661432,0.0010053619302949062
10864,105.0,45.0,36957.0,30.5,56573.0,238.3,50.3,REPUBLICAN,Finney,Kansas,0.29396325459317585,0.0028411397028979624
20642,289.0,62.2,107139.0,50.9,53872.0,272.2,92.6,REPUBLICAN,Flagler,Florida,0.1926656026283613,0.0026974304408292032
24306,228.0,41.4,98082.0,42.1,52966.0,297.9,59.2,REPUBLICAN,Flathead,Montana,0.24781305438306722,0.0023245855508656024
38638,568.0,53.4,138561.0,39.0,45479.0,397.4,163.1,REPUBLICAN,Florence,South Carolina,0.27885191359762124,0.004099277574497875
25628,429.0,41.2,96824.0,38.5,46367.0,507.5,85.2,REPUBLICAN,Floyd,Georgia,0.2646864413781707,0.004430719656283566
17381,271.0,55.6,76809.0,39.9,61754.0,334.9,73.6,REPUBLICAN,Floyd,Indiana,0.22628858597299795,0.0035282323686026376
9890,151.0,56.0,36926.0,41.9,31267.0,549.1,77.4,REPUBLICAN,Floyd,Kentucky,0.2678329632237448,0.004089259600281644
4262,33.0,61.2,26282.0,43.3,74931.0,271.5,62.2,REPUBLICAN,Fluvanna,Virginia,0.1621642188570124,0.0012556122060725973
10314,104.0,43.0,34484.0,31.9,53072.0,334.0,73.6,REPUBLICAN,Ford,Kansas,0.2990952325716274,0.0030158914279085954
19561,269.0,41.9,75517.0,32.4,40675.0,415.8,103.6,REPUBLICAN,Forrest,Mississippi,0.25902776858190873,0.0035621118423666193
8565,116.0,42.6,31542.0,37.6,40459.0,490.5,92.3,REPUBLICAN,Franklin,Alabama,0.2715427049648088,0.003677636167649483
5118,90.0,35.1,22514.0,41.0,40198.0,486.6,94.0,REPUBLICAN,Franklin,Georgia,0.22732521986319623,0.003997512658790086
11445,161.0,44.0,39127.0,42.3,41414.0,349.2,73.4,REPUBLICAN,Franklin,Illinois,0.29250900912413424,0.004114805632938891
4094,58.0,36.9,22842.0,42.0,58382.0,302.9,82.8,REPUBLICAN,Franklin,Indiana,0.17923124069696172,0.002539182208212941
6555,70.0,49.8,25563.0,39.1,55486.0,342.6,74.0,REPUBLICAN,Franklin,Kansas,0.2564253021945781,0.0027383327465477446
11617,122.0,60.0,50296.0,40.5,55068.0,376.1,70.9,REPUBLICAN,Franklin,Kentucky,0.23097264195959918,0.002425640209957054
6529,150.0,36.0,20322.0,38.5,35466.0,810.5,65.7,REPUBLICAN,Franklin,Louisiana,0.3212774333234918,0.007381163271331562
4361,47.0,62.6,30019.0,46.0,48053.0,266.6,78.0,REPUBLICAN,Franklin,Maine,0.14527465938239115,0.0015656750724541125
9187,150.0,66.8,70935.0,46.1,59522.0,280.8,60.7,DEMOCRAT,Franklin,Massachusetts,0.1295129343765419,0.002114611968703743
21383,295.0,53.2,102781.0,40.8,55312.0,387.1,71.4,REPUBLICAN,Franklin,Missouri,0.20804428834123037,0.0028701802862396747
8283,39.0,64.6,50692.0,40.6,51696.0,328.5,54.1,REPUBLICAN,Franklin,New York,0.16339856387595675,0.000769352166022252
18059,65.0,50.2,64902.0,41.3,53175.0,313.2,90.5,REPUBLICAN,Franklin,North Carolina,0.278250285045145,0.0010015099688761517
38051,612.0,47.7,153751.0,41.4,59713.0,310.7,61.5,REPUBLICAN,Franklin,Pennsylvania,0.24748456920605394,0.003980461915694857
10929,149.0,40.2,41512.0,41.9,49038.0,454.5,87.0,REPUBLICAN,Franklin,Tennessee,0.26327327037964926,0.003589323569088456
7798,58.0,36.3,49025.0,40.0,64258.0,353.7,52.4,DEMOCRAT,Franklin,Vermont,0.15906170321264662,0.0011830698623151454
9641,140.0,42.7,56233.0,46.6,52639.0,283.1,76.0,REPUBLICAN,Franklin,Virginia,0.17144737076094108,0.0024896413138192877
29506,192.0,50.7,90660.0,30.0,62002.0,263.9,74.9,REPUBLICAN,Franklin,Washington,0.32545775424663576,0.0021178027796161483
19047,192.0,47.2,85153.0,40.6,73250.0,316.8,72.7,REPUBLICAN,Frederick,Virginia,0.2236797294282057,0.0022547649524972697
8146,60.0,56.1,30526.0,44.2,52447.0,277.9,66.0,REPUBLICAN,Freeborn,Minnesota,0.26685448470156586,0.001965537574526633
12844,169.0,43.0,47002.0,44.9,46296.0,301.9,67.5,REPUBLICAN,Fremont,Colorado,0.2732649674481937,0.003595591676949917
12415,169.0,62.2,40076.0,38.4,54242.0,304.9,62.6,REPUBLICAN,Fremont,Wyoming,0.309786405828925,0.004216987723325682
9233,117.0,56.6,35418.0,43.0,50180.0,351.6,72.7,REPUBLICAN,Fulton,Illinois,0.26068665650234346,0.0033034050482805355
4637,99.0,39.0,20212.0,41.3,49333.0,390.1,83.7,REPUBLICAN,Fulton,Indiana,0.22941816742529192,0.004898080348307936
11501,151.0,53.1,53743.0,43.8,50248.0,346.6,57.4,REPUBLICAN,Fulton,New York,0.21399996278585118,0.002809668235863275
9952,161.0,51.3,42305.0,40.8,60231.0,392.9,79.8,REPUBLICAN,Fulton,Ohio,0.23524406098569908,0.0038056967261553007
12479,182.0,56.6,46017.0,40.7,40922.0,296.0,78.9,DEMOCRAT,Gadsden,Florida,0.27118238911706544,0.003955060086489775
3337,37.0,43.5,21595.0,44.0,51662.0,278.4,66.9,REPUBLICAN,Gage,Nebraska,0.1545265107663811,0.0017133595739754572
2327,75.0,21.3,20321.0,27.9,59032.0,377.5,71.6,REPUBLICAN,Gaines,Texas,0.11451208109837115,0.0036907632498400667
