,Cases,Deaths,Population,Median Age,Household Income,Heart Disease,Stroke,County,State,Cases per Capita,Deaths per Capita
2793,20623,192.0,76306.0,35.7,48389.0,258.3,69.6,Umatilla,Oregon,0.27026708253610465,0.002516184834744319
2795,8613,159.0,41307.0,39.9,37435.0,414.6,116.0,Union,Arkansas,0.20851187450068995,0.0038492265233495532
2797,4444,139.0,21399.0,51.7,40009.0,332.5,67.5,Union,Georgia,0.20767325575961493,0.006495630636945651
2802,6381,119.0,22576.0,40.9,35828.0,279.0,99.0,Union,Louisiana,0.28264528703047487,0.005271084337349397
2803,8573,106.0,27338.0,37.2,38373.0,467.0,101.8,Union,Mississippi,0.31359280122905847,0.0038773867876216255
2807,14637,84.0,52683.0,37.1,65086.0,348.5,76.1,Union,Ohio,0.27783155856727976,0.0015944422299413474
2808,4453,66.0,25741.0,39.9,42542.0,279.7,63.3,Union,Oregon,0.17299250223379045,0.002564002952488248
2809,10914,137.0,44932.0,38.5,48528.0,279.6,54.0,Union,Pennsylvania,0.24290038280067658,0.0030490519006498708
2810,7087,121.0,28594.0,42.7,32556.0,435.6,94.3,Union,South Carolina,0.2478491991326852,0.004231656990977128
2813,7083,164.0,39640.0,40.4,46600.0,426.7,89.6,Upshur,Texas,0.17868314833501514,0.004137235116044399
2814,5803,77.0,24371.0,41.3,39381.0,332.6,67.9,Upshur,West Virginia,0.2381108694760166,0.003159492839850642
2815,7343,202.0,26918.0,42.1,35329.0,507.9,160.9,Upson,Georgia,0.2727914406716695,0.007504272234192733
2821,9907,121.0,26578.0,34.4,34902.0,335.4,82.6,Uvalde,Texas,0.3727519000677252,0.00455263751975318
2822,13325,263.0,48730.0,32.0,40450.0,337.3,69.6,Val Verde,Texas,0.273445516109173,0.005397085983993433
2823,17008,220.0,76461.0,37.9,42506.0,305.0,70.2,Valencia,New Mexico,0.222440198271014,0.0028772838440512156
2829,15999,242.0,75897.0,40.3,45129.0,390.4,81.4,Van Buren,Michigan,0.21079884580418198,0.0031885318260273794
2831,6234,126.0,28685.0,41.1,45355.0,354.9,79.8,Van Wert,Ohio,0.21732612863866133,0.004392539654871884
2832,9677,246.0,52515.0,42.9,43439.0,426.3,81.9,Van Zandt,Texas,0.184271160620775,0.004684375892602114
2833,10959,110.0,45120.0,38.9,34987.0,348.2,91.7,Vance,North Carolina,0.24288563829787235,0.0024379432624113476
2834,53066,554.0,180233.0,37.6,43540.0,340.5,76.4,Vanderburgh,Indiana,0.29442998784906205,0.003073798915847819
2835,10658,218.0,54590.0,44.7,41977.0,388.7,69.4,Venango,Pennsylvania,0.1952372229346034,0.003993405385601758
2837,26492,281.0,81147.0,39.8,41400.0,376.8,78.4,Vermilion,Illinois,0.3264692471687185,0.003462851368504073
2838,14265,202.0,58394.0,36.4,44665.0,508.3,96.6,Vermilion,Louisiana,0.2442887967941912,0.003459259512963661
2840,9125,173.0,52510.0,29.8,46572.0,521.0,90.5,Vernon,Louisiana,0.17377642353837364,0.0032946105503713578
2841,4652,93.0,20990.0,40.8,38679.0,401.2,77.1,Vernon,Missouri,0.22162934730824202,0.004430681276798475
2842,5405,80.0,30002.0,41.7,45488.0,294.1,68.9,Vernon,Wisconsin,0.18015465635624292,0.002666488900739951
2843,17289,367.0,88068.0,36.0,50364.0,351.9,67.5,Victoria,Texas,0.1963142117454694,0.004167234409774265
2844,27350,359.0,108084.0,36.0,40692.0,464.5,81.0,Vigo,Indiana,0.25304392879612153,0.0033214906924244106
2845,4888,83.0,21401.0,51.4,40833.0,349.6,66.5,Vilas,Wisconsin,0.22840054203074622,0.0038783234428297745
2849,8238,142.0,32650.0,41.9,45286.0,348.0,89.9,Wabash,Indiana,0.25231240428790197,0.004349157733537519
2850,4954,14.0,21549.0,43.3,53057.0,271.0,54.9,Wabasha,Minnesota,0.22989465868485776,0.0006496821198199453
2853,19244,237.0,74077.0,38.0,55723.0,419.5,73.8,Wagoner,Oklahoma,0.25978373854232756,0.0031993736247418227
2856,9032,109.0,30824.0,39.6,52691.0,320.7,73.8,Wakulla,Florida,0.29301842719958476,0.003536205554113678
2857,4314,48.0,38819.0,44.4,42221.0,319.9,73.3,Waldo,Maine,0.111131147118679,0.0012365078956181252
2858,15805,392.0,66622.0,41.8,37566.0,771.3,106.9,Walker,Alabama,0.2372339467443187,0.005883942241301672
2859,15172,194.0,68481.0,40.0,39963.0,521.6,90.2,Walker,Georgia,0.2215505030592427,0.0028329025569135964
2860,17276,197.0,68110.0,35.0,37617.0,323.2,76.8,Walker,Texas,0.2536485097636177,0.0028923799735721626
2861,13385,122.0,59092.0,37.0,46597.0,256.8,72.8,Walla Walla,Washington,0.22651120287010085,0.0020645772693427197
2863,8761,95.0,43836.0,31.2,50097.0,338.2,70.3,Waller,Texas,0.1998585637375673,0.002167168537275299
2867,15519,180.0,56590.0,43.1,43640.0,282.2,76.5,Walton,Florida,0.274235730694469,0.003180773988337162
2868,21160,380.0,84397.0,37.9,52369.0,383.2,89.0,Walton,Georgia,0.25071981231560364,0.00450252971077171
2870,25495,253.0,102619.0,38.3,54020.0,322.9,63.5,Walworth,Wisconsin,0.24844327073933678,0.0024654303783899667
2871,8335,171.0,35469.0,39.8,41425.0,389.3,74.9,Wapello,Iowa,0.23499393836871635,0.00482111139304745
2872,19130,240.0,64008.0,31.9,56580.0,245.2,56.2,Ward,North Dakota,0.2988688913885764,0.0037495313085864268
2874,9202,253.0,36008.0,38.2,34572.0,473.1,95.2,Ware,Georgia,0.2555543212619418,0.007026216396356365
2878,11464,121.0,46631.0,38.8,62535.0,353.0,64.2,Warren,Iowa,0.24584503870815552,0.0025948403422615856
2879,39017,316.0,115438.0,32.7,44135.0,374.8,80.9,Warren,Kentucky,0.33799095618427205,0.0027374001628579846
2880,9343,184.0,48389.0,37.7,41025.0,418.9,114.9,Warren,Mississippi,0.19308107214449566,0.0038025171009940274
2881,7754,90.0,32667.0,40.1,50830.0,321.7,62.7,Warren,Missouri,0.23736492484770563,0.002755073927817063
2882,22763,309.0,108150.0,41.8,70912.0,337.1,52.8,Warren,New Jersey,0.21047619047619048,0.002857142857142857
2883,12458,115.0,65584.0,44.6,55904.0,295.6,56.5,Warren,New York,0.18995486704074163,0.001753476457672603
2884,3867,38.0,20792.0,45.1,34285.0,347.8,91.4,Warren,North Carolina,0.18598499422854944,0.0018276260100038477
2886,6783,195.0,41429.0,45.5,43764.0,343.6,65.5,Warren,Pennsylvania,0.16372589249076733,0.004706847860194549
2887,10915,154.0,39861.0,39.1,34641.0,388.1,98.1,Warren,Tennessee,0.27382654725169964,0.0038634254032763856
2888,7942,118.0,37836.0,40.1,61610.0,330.9,99.3,Warren,Virginia,0.20990590971561476,0.0031187229093984567
2889,18668,225.0,60163.0,40.0,62351.0,357.8,77.5,Warrick,Indiana,0.3102903778069578,0.00373984010105879
2890,10197,33.0,24542.0,31.9,65050.0,268.0,67.3,Wasatch,Utah,0.4154918099584386,0.0013446336891858855
2891,4420,50.0,25281.0,41.4,43765.0,265.4,77.7,Wasco,Oregon,0.17483485621613068,0.001977769866698311
2898,6261,88.0,24702.0,40.5,38501.0,509.1,76.2,Washington,Florida,0.2534612581977168,0.0035624645777669823
2899,4119,130.0,20982.0,39.1,33652.0,400.0,88.9,Washington,Georgia,0.1963111238204175,0.006195786864931847
2902,5511,73.0,28064.0,39.7,41986.0,363.9,84.4,Washington,Indiana,0.19637257696693272,0.0026011972633979475
2903,5272,73.0,21834.0,42.0,54554.0,307.0,59.8,Washington,Iowa,0.24145827608317302,0.003343409361546212
2906,12077,229.0,46935.0,38.8,31778.0,449.7,88.5,Washington,Louisiana,0.2573133056354533,0.004879088100564611
2907,3069,45.0,32621.0,46.2,37236.0,321.9,64.8,Washington,Maine,0.09408050029122345,0.001379479476410901
2908,32447,524.0,148435.0,40.0,55609.0,356.4,78.8,Washington,Maryland,0.21859399737258733,0.003530164718563681
2910,9418,171.0,50578.0,35.5,28093.0,457.4,102.1,Washington,Mississippi,0.18620744197081734,0.0033809166040570998
2911,5450,117.0,25135.0,40.2,34702.0,552.8,73.4,Washington,Missouri,0.21682912273721902,0.004654863735826536
2912,4197,31.0,20234.0,40.8,65409.0,258.8,65.0,Washington,Nebraska,0.20742314915488783,0.0015320747257092024
2913,11104,105.0,63237.0,42.4,52361.0,325.5,55.5,Washington,New York,0.17559340259658113,0.0016604203235447601
2915,11580,173.0,61600.0,43.0,42834.0,289.5,76.2,Washington,Ohio,0.18798701298701298,0.0028084415584415582
2916,10914,222.0,51329.0,40.5,48687.0,482.5,79.2,Washington,Oklahoma,0.212628338755869,0.004325040425490464
2919,28067,206.0,126627.0,42.3,72138.0,283.1,56.2,Washington,Rhode Island,0.22165099070498392,0.0016268252426417747
2920,31002,424.0,123891.0,39.6,42075.0,389.2,71.7,Washington,Tennessee,0.2502360946315713,0.003422363206366887
2921,8509,137.0,33863.0,41.7,44858.0,285.9,65.0,Washington,Texas,0.2512772052092254,0.004045713610725571
2922,41961,391.0,141902.0,33.2,49279.0,217.1,65.6,Washington,Utah,0.29570407746191035,0.002755422756550295
2923,7835,41.0,59427.0,42.5,57281.0,289.3,56.0,Washington,Vermont,0.13184242852575428,0.0006899220892860148
2924,11797,191.0,54804.0,43.5,41897.0,319.4,74.4,Washington,Virginia,0.215258010364207,0.0034851470695569666
2925,36539,264.0,132186.0,41.2,66159.0,287.6,64.7,Washington,Wisconsin,0.27642110359644745,0.001997185783668467
2929,10272,48.0,51557.0,28.8,34293.0,260.2,54.7,Watauga,North Carolina,0.19923579727292123,0.0009310083984715946
2932,12936,235.0,52300.0,43.9,50822.0,324.2,63.5,Waupaca,Wisconsin,0.24734225621414915,0.004493307839388145
2933,6021,76.0,24483.0,46.7,43070.0,343.0,60.1,Waushara,Wisconsin,0.24592574439406936,0.00310419474737573
2934,7107,185.0,30187.0,37.4,35830.0,388.3,86.5,Wayne,Georgia,0.23543247093119554,0.00612846589591546
2936,18004,313.0,68557.0,40.6,38350.0,474.8,87.8,Wayne,Indiana,0.2626135916099013,0.004565543999883309
2938,4277,78.0,20797.0,41.1,29497.0,419.5,71.0,Wayne,Kentucky,0.20565466173005723,0.003750540943405299
2940,5163,73.0,20675.0,37.6,29925.0,479.0,72.7,Wayne,Mississippi,0.24972188633615477,0.003530834340991536
2943,15955,153.0,93224.0,42.3,52601.0,287.7,58.0,Wayne,New York,0.17114691495752166,0.0016412082725478418
2944,25542,351.0,123382.0,36.7,41731.0,390.8,112.5,Wayne,North Carolina,0.20701561005657226,0.0028448233940120927
2945,22424,380.0,114750.0,38.7,49135.0,357.7,74.6,Wayne,Ohio,0.1954161220043573,0.0033115468409586056
2946,9508,154.0,52212.0,46.0,49313.0,378.8,57.2,Wayne,Pennsylvania,0.18210373094307822,0.002949513521795756
2949,8660,97.0,42007.0,42.1,36964.0,329.5,79.8,Wayne,West Virginia,0.2061561168376699,0.0023091389530316376
2950,8377,111.0,34779.0,36.9,35273.0,378.7,95.6,Weakley,Tennessee,0.24086373961298485,0.0031915811265418787
2954,9734,145.0,37626.0,40.0,41624.0,437.3,74.6,Webster,Iowa,0.2587040875990007,0.0038537181736033595
2956,10340,158.0,41039.0,40.7,35071.0,408.8,116.8,Webster,Louisiana,0.251955457004313,0.003849996344940179
2958,8225,128.0,36274.0,37.8,44596.0,404.3,71.2,Webster,Missouri,0.22674642994982633,0.0035286982411644706
2962,6253,126.0,27707.0,40.9,48136.0,328.4,81.3,Wells,Indiana,0.22568304038690584,0.0045475872523189085
2964,6920,81.0,24012.0,35.5,50926.0,323.7,97.1,West Baton Rouge,Louisiana,0.28818923871397634,0.003373313343328336
2972,6318,95.0,32690.0,41.4,40965.0,300.3,102.6,Wexford,Michigan,0.19327011318446008,0.002906087488528602
2973,7934,195.0,41185.0,37.2,40411.0,403.7,86.2,Wharton,Texas,0.19264295253126137,0.00473473351948525
2981,19757,226.0,77767.0,36.4,42487.0,471.8,84.5,White,Arkansas,0.2540537760232489,0.0029061169904972548
2982,6391,143.0,27400.0,43.0,40670.0,288.9,79.8,White,Georgia,0.23324817518248175,0.005218978102189781
2984,6506,86.0,24542.0,42.3,51444.0,360.4,75.3,White,Indiana,0.2650965691467688,0.0035041968869692773
2985,7022,118.0,25986.0,42.0,34474.0,380.9,94.2,White,Tennessee,0.2702224274609405,0.004540906642038021
2986,14251,254.0,58150.0,42.1,47667.0,383.9,68.0,Whiteside,Illinois,0.24507308684436802,0.004368013757523646
2987,31720,374.0,102556.0,34.3,40471.0,370.7,89.9,Whitfield,Georgia,0.30929443426030656,0.0036467880962596047
2988,9312,74.0,33274.0,40.3,51914.0,328.1,84.8,Whitley,Indiana,0.27985814750255456,0.002223958646390575
2989,12068,147.0,35718.0,38.1,29769.0,582.2,108.5,Whitley,Kentucky,0.3378688616383896,0.004115571980514027
2990,9389,86.0,45512.0,24.0,36257.0,296.3,75.2,Whitman,Washington,0.20629724028827562,0.0018896115310247847
2993,32084,583.0,131358.0,34.1,45086.0,369.2,103.2,Wichita,Texas,0.2442485421519816,0.004438252713957277
2994,18198,293.0,99683.0,35.4,51092.0,446.1,121.2,Wicomico,Maryland,0.1825587111142321,0.0029393176369090016
2999,15610,219.0,69184.0,42.9,33159.0,308.3,62.8,Wilkes,North Carolina,0.22563020351526364,0.0031654717853839037
3004,6215,118.0,22039.0,31.9,25886.0,279.7,52.7,Willacy,Texas,0.2820000907482191,0.005354144924905849
3005,9811,66.0,25024.0,35.6,76210.0,311.5,72.5,Williams,North Dakota,0.3920636189258312,0.002637468030690537
3006,8574,146.0,37623.0,41.5,43089.0,356.0,65.8,Williams,Ohio,0.2278925125588071,0.003880604949100284
3007,7865,132.0,33944.0,41.2,25849.0,317.2,122.8,Williamsburg,South Carolina,0.23170516144237568,0.0038887579542776335
3008,20756,239.0,66606.0,40.8,43125.0,307.5,70.2,Williamson,Illinois,0.31162357745548447,0.0035882653214425126
3009,55076,351.0,188935.0,38.5,89779.0,268.3,80.7,Williamson,Tennessee,0.2915076613650197,0.0018577817768015456
3012,19451,244.0,81365.0,39.1,39204.0,354.5,91.8,Wilson,North Carolina,0.23905856326430283,0.0029988324218029865
3013,37152,434.0,116948.0,39.5,60390.0,306.8,80.8,Wilson,Tennessee,0.31767965249512603,0.0037110510654307896
3014,9956,151.0,43753.0,40.1,64571.0,330.0,78.6,Wilson,Texas,0.22755011084954174,0.0034511919182684614
3015,24279,274.0,118115.0,39.7,59333.0,323.8,55.9,Windham,Connecticut,0.2055539093256572,0.0023197731024848663
3016,5205,33.0,44216.0,45.3,50234.0,285.9,57.1,Windham,Vermont,0.11771756830106749,0.0007463361679030216
3017,6799,47.0,56416.0,45.8,52460.0,285.2,60.1,Windsor,Vermont,0.12051545660805445,0.0008330969937606353
3022,48579,332.0,167860.0,37.7,51010.0,260.7,64.7,Winnebago,Wisconsin,0.28940188252114857,0.0019778386750863813
3023,3523,46.0,21038.0,40.6,53122.0,286.6,64.9,Winneshiek,Iowa,0.1674588839243274,0.0021865196311436448
3024,11137,66.0,51328.0,33.4,47468.0,286.9,60.9,Winona,Minnesota,0.2169770885286783,0.0012858478802992518
3025,6323,114.0,24342.0,43.6,32900.0,457.2,95.2,Winston,Alabama,0.25975679894831977,0.004683263495193493
3028,15934,232.0,59894.0,38.8,56005.0,385.7,84.9,Wise,Texas,0.26603666477443483,0.003873509867432464
3029,8312,160.0,41154.0,39.6,36218.0,443.5,77.2,Wise,Virginia,0.20197307673616174,0.0038878359333236138
3031,30021,309.0,127325.0,35.1,52069.0,403.7,81.1,Wood,Ohio,0.23578244649518948,0.0024268603966228156
3032,7482,255.0,42089.0,47.9,43649.0,425.3,74.3,Wood,Texas,0.17776616218014207,0.006058590130437882
3033,20061,297.0,86779.0,42.1,42287.0,402.4,80.3,Wood,West Virginia,0.2311734405789419,0.0034224870072252504
3034,19443,197.0,74469.0,43.1,47685.0,293.7,58.8,Wood,Wisconsin,0.26108850662691857,0.0026453960708482725
3035,27235,298.0,102155.0,35.3,45856.0,317.5,60.2,Woodbury,Iowa,0.2666046693749694,0.0029171357251235866
3036,9778,117.0,38903.0,40.3,66639.0,324.3,74.4,Woodford,Illinois,0.2513430840809192,0.0030074801429195693
3037,5963,40.0,24988.0,41.5,57580.0,311.4,69.0,Woodford,Kentucky,0.23863454458139907,0.0016007683688170323
3041,4704,60.0,20483.0,36.4,51867.0,465.4,68.8,Woodward,Oklahoma,0.2296538592979544,0.0029292584094126836
3042,8078,144.0,51479.0,48.5,57952.0,360.3,86.9,Worcester,Maryland,0.15691835505740204,0.0027972571339769615
3044,4368,98.0,21670.0,39.6,35792.0,330.3,104.8,Worth,Georgia,0.20156898938624826,0.004522381172127365
3048,33788,285.0,126142.0,34.8,71598.0,236.4,57.0,Wright,Minnesota,0.2678568597295112,0.0022593585007372645
3050,5142,95.0,22582.0,41.4,44448.0,360.4,75.2,Wyandot,Ohio,0.22770348064830395,0.004206890443716234
3051,44318,446.0,158348.0,33.1,39402.0,337.9,88.2,Wyandotte,Kansas,0.2798772324247859,0.002816581200899285
3052,7923,80.0,41923.0,41.1,51100.0,338.1,63.7,Wyoming,New York,0.18898933759511485,0.0019082603821291414
3053,4730,96.0,28177.0,42.4,48482.0,395.9,61.6,Wyoming,Pennsylvania,0.1678674095893814,0.003407034105830997
3054,5947,83.0,23479.0,42.4,34454.0,454.0,90.4,Wyoming,West Virginia,0.2532901741982197,0.0035350738958217984
3055,6437,121.0,29274.0,43.2,41275.0,411.1,75.3,Wythe,Virginia,0.21988795518207283,0.004133360661337706
3056,9699,98.0,38217.0,42.1,40371.0,303.8,78.5,Yadkin,North Carolina,0.2537875814428134,0.002564303843839129
3059,15153,176.0,99802.0,37.7,54535.0,267.6,74.5,Yamhill,Oregon,0.15183062463678082,0.001763491713592914
3061,5587,50.0,22518.0,41.1,52578.0,320.8,66.1,Yankton,South Dakota,0.24811262101429968,0.0022204458655297986
3062,3102,37.0,25293.0,40.5,49335.0,286.0,61.9,Yates,New York,0.12264262839520816,0.0014628553354683114
3064,7537,95.0,28122.0,35.5,26336.0,368.6,119.6,Yazoo,Mississippi,0.26801081004196003,0.003378138112509779
3065,6386,94.0,22014.0,39.6,35535.0,472.9,86.2,Yell,Arkansas,0.2900881257381666,0.00427000999364041
3067,38255,486.0,150156.0,38.3,51342.0,322.4,70.9,Yellowstone,Montana,0.2547683742241402,0.003236633900743227
3070,29261,208.0,198220.0,43.4,57348.0,253.0,58.4,York,Maine,0.14761880738573302,0.0010493391181515487
3074,9037,88.0,65762.0,39.5,82073.0,233.0,72.0,York,Virginia,0.1374197865028436,0.0013381588151211946
3076,15811,104.0,72574.0,31.9,44902.0,370.1,87.2,Yuba,California,0.21786039077355526,0.0014330200898393364
3077,57792,1046.0,199026.0,33.4,41595.0,252.1,57.8,Yuma,Arizona,0.29037412197401347,0.0052555947464150415
