,Cases,Deaths,Population,Median Age,Household Income,Heart Disease,Stroke,County,State,Cases per Capita,Deaths per Capita
2510,9327,102.0,36883.0,38.9,43444.0,287.9,42.8,Scotts Bluff,Nebraska,0.2528807309600629,0.0027655017216603856
2514,30811,430.0,126536.0,36.9,40471.0,412.2,93.4,Sebastian,Arkansas,0.2434959221091231,0.003398242397420497
2519,5347,108.0,25443.0,39.3,33819.0,595.9,84.9,Seminole,Oklahoma,0.2101560350587588,0.004244782454899187
2520,5346,88.0,35359.0,41.4,47618.0,303.6,61.1,Seneca,New York,0.15119205859894227,0.002488758166237733
2521,12269,210.0,56376.0,39.2,43764.0,447.6,78.7,Seneca,Ohio,0.21762806868170853,0.003724989357173265
2523,9194,94.0,41834.0,39.0,35742.0,516.5,86.9,Sequoyah,Oklahoma,0.21977339006549695,0.002246976143806473
2525,26992,357.0,91295.0,41.3,43649.0,378.9,71.7,Sevier,Tennessee,0.29565693630538364,0.0039104003505120765
2526,5098,22.0,20798.0,33.5,46229.0,343.6,64.9,Sevier,Utah,0.2451197230502933,0.0010577940186556399
2527,6790,59.0,23146.0,29.2,50185.0,351.7,68.1,Seward,Kansas,0.29335522336472825,0.0025490365505918947
2533,32779,526.0,177966.0,42.1,44651.0,375.8,69.1,Shasta,California,0.18418686715440027,0.002955620736545183
2534,11188,121.0,41776.0,43.7,46559.0,310.5,62.3,Shawano,Wisconsin,0.26780926847950975,0.0028963998468019914
2535,44978,522.0,178378.0,38.5,48451.0,318.7,70.0,Shawnee,Kansas,0.2521499288028793,0.0029263698438148204
2536,30795,263.0,115235.0,40.7,52920.0,298.4,70.5,Sheboygan,Wisconsin,0.26723651668329934,0.002282292706209051
2537,53229,394.0,198366.0,37.3,68770.0,289.6,99.7,Shelby,Alabama,0.26833731587066334,0.0019862274784993397
2538,5802,67.0,22266.0,43.9,47188.0,325.8,72.6,Shelby,Illinois,0.2605766639719752,0.003009072127908021
2539,13812,166.0,44511.0,40.0,51440.0,318.3,76.3,Shelby,Indiana,0.3103053177866145,0.0037294152007368965
